,name,label,description,link
9405,DEBT_LC_DEBT_DEF_SOVEREIGNS_2022,LC_DEBT_DEF_SOVEREIGNS_2022,LC_DEBT_DEF_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_LC_DEBT_DEF_SOVEREIGNS_2022
9406,DEBT_ARREARS_TOTAL_SOVEREIGNS_2022,ARREARS_TOTAL_SOVEREIGNS_2022,ARREARS_TOTAL_SOVEREIGNS_2022,https://www.bankofcanada.ca/valet/series/DEBT_ARREARS_TOTAL_SOVEREIGNS_2022
9407,DEBT_PARIS_CLUB_DEBT_2022,PARIS_CLUB_DEBT_2022,PARIS_CLUB_DEBT_2022,https://www.bankofcanada.ca/valet/series/DEBT_PARIS_CLUB_DEBT_2022
9408,DEBT_GROSS_CHINA_2022,GROSS_CHINA_2022,GROSS_CHINA_2022,https://www.bankofcanada.ca/valet/series/DEBT_GROSS_CHINA_2022
9409,DEBT_GROSS_WORLD_PUBLIC_DEBT_2022,GROSS_WORLD_PUBLIC_DEBT_2022,GROSS_WORLD_PUBLIC_DEBT_2022,https://www.bankofcanada.ca/valet/series/DEBT_GROSS_WORLD_PUBLIC_DEBT_2022
9410,DEBT_GROSS_EME_OTHER_GDP_2022,GROSS_EME_OTHER_GDP_2022,GROSS_EME_OTHER_GDP_2022,https://www.bankofcanada.ca/valet/series/DEBT_GROSS_EME_OTHER_GDP_2022
9411,DEBT_GROSS_WORLD_PRODUCT_2022,GROSS_WORLD_PRODUCT_2022,GROSS_WORLD_PRODUCT_2022,https://www.bankofcanada.ca/valet/series/DEBT_GROSS_WORLD_PRODUCT_2022
9412,SAN_BOLD20220805_C1_S1,Government of Canada bonds,,https://www.bankofcanada.ca/valet/series/SAN_BOLD20220805_C1_S1
9413,SAN_BOLD20220805_C2_S1,Bank of Canada,,https://www.bankofcanada.ca/valet/series/SAN_BOLD20220805_C2_S1
9414,SAN_BOLD20220805_C2_S2,Banks,,https://www.bankofcanada.ca/valet/series/SAN_BOLD20220805_C2_S2
9415,SAN_BOLD20220805_C2_S3,Non-banks,,https://www.bankofcanada.ca/valet/series/SAN_BOLD20220805_C2_S3
9416,SAN_BOLD20220805_C3_S1,Liquidity coverage ratio,,https://www.bankofcanada.ca/valet/series/SAN_BOLD20220805_C3_S1
9417,FSHUB_20221006_C1_S1,Percentage,,https://www.bankofcanada.ca/valet/series/FSHUB_20221006_C1_S1
9418,FSHUB_20221006_C2_S1,Low knowledge,,https://www.bankofcanada.ca/valet/series/FSHUB_20221006_C2_S1
9419,FSHUB_20221006_C2_S2,Medium knowledge,,https://www.bankofcanada.ca/valet/series/FSHUB_20221006_C2_S2
9420,FSHUB_20221006_C2_S3,High knowledge,,https://www.bankofcanada.ca/valet/series/FSHUB_20221006_C2_S3
9421,FSHUB_20221006_C3_S1,Recent owner,,https://www.bankofcanada.ca/valet/series/FSHUB_20221006_C3_S1
9422,FSHUB_20221006_C3_S2,Long-term owner,,https://www.bankofcanada.ca/valet/series/FSHUB_20221006_C3_S2
9423,FSHUB_20221006_C4_S1,Recent owner,,https://www.bankofcanada.ca/valet/series/FSHUB_20221006_C4_S1
9424,FSHUB_20221006_C4_S2,Long-term owner,,https://www.bankofcanada.ca/valet/series/FSHUB_20221006_C4_S2
9425,FSHUB_20221006_C5_S1,2019,,https://www.bankofcanada.ca/valet/series/FSHUB_20221006_C5_S1
9426,FSHUB_20221006_C5_S2,2021,,https://www.bankofcanada.ca/valet/series/FSHUB_20221006_C5_S2
9427,CSCE_2022Q3_C10_S1,2022Q3,,https://www.bankofcanada.ca/valet/series/CSCE_2022Q3_C10_S1
9428,CSCE_2022Q3_C10_S2,Average,,https://www.bankofcanada.ca/valet/series/CSCE_2022Q3_C10_S2
9429,CSCE_2022Q3_C1A_S1,"Expected wage growth, next 12 months, public sector",,https://www.bankofcanada.ca/valet/series/CSCE_2022Q3_C1A_S1
